Compagnie,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
88rising,1,5.5,5.5,5.5,5.5,5.5
AAP Entertainment,1,9.0,9.0,9.0,9.0,9.0
ADOR,6,5.42,3.0,9.0,5.0,3.0
AOMG,1,6.0,6.0,6.0,6.0,6.0
BELIFT LAB,1,9.5,9.5,9.5,9.5,9.5
BPM,1,6.5,6.5,6.5,6.5,6.5
BPM Entertainment,1,9.5,9.5,9.5,9.5,9.5
Banana Culture Entertainment,1,5.0,5.0,5.0,5.0,5.0
Belift Lab,10,7.75,5.5,10.0,7.25,7.0
BigHit Entertainment,62,4.97,0.0,10.0,5.0,5.0
BlockBerryCreative,2,4.25,4.0,4.5,4.25,4.0
Bluedot Entertainment,1,4.0,4.0,4.0,4.0,4.0
Brand New Music,1,5.0,5.0,5.0,5.0,5.0
Brave Entertainment,2,6.5,6.0,7.0,6.5,6.0
C9 Entertainment,1,5.0,5.0,5.0,5.0,5.0
CJ ENM,1,5.0,5.0,5.0,5.0,5.0
CJeS Entertainment,1,6.0,6.0,6.0,6.0,6.0
CTDE&M,1,10.0,10.0,10.0,10.0,10.0
CUBE Entertainment,15,4.97,1.0,8.0,5.0,4.0
Cre.ker Entertainment,1,5.0,5.0,5.0,5.0,5.0
Dongyo,1,6.0,6.0,6.0,6.0,6.0
Dreamcatcher Company,7,9.71,9.0,10.0,10.0,10.0
FNC Entertainment,12,5.29,3.0,7.5,5.25,5.0
Fantagio,1,6.0,6.0,6.0,6.0,6.0
GF Entertainment,1,6.0,6.0,6.0,6.0,6.0
High Up Entertainment,3,5.5,4.0,7.5,5.0,4.0
J&Star Entertainment,2,10.0,10.0,10.0,10.0,10.0
JYP Entertainment,84,7.11,1.0,10.0,7.0,10.0
Jellyfish Entertainment,1,3.0,3.0,3.0,3.0,3.0
KONNECT Entertainment,1,4.0,4.0,4.0,4.0,4.0
KOZ Entertainment,2,5.25,4.0,6.5,5.25,4.0
KQ Entertainment,16,7.19,2.0,10.0,7.0,6.0
MLD Entertainment,2,2.25,0.5,4.0,2.25,0.5
MNH Entertainment,3,4.67,4.0,5.0,5.0,5.0
Makeus Entertainment,3,4.33,3.0,5.0,5.0,5.0
Mystic Story,2,10.0,10.0,10.0,10.0,10.0
ONE HUNDRED ,2,7.5,5.0,10.0,7.5,5.0
Off The Record Entertainment,4,4.25,2.0,6.0,4.5,2.0
Play M Entertainment,2,7.25,6.0,8.5,7.25,6.0
Pledis Entertainment,19,5.53,1.0,10.0,6.0,6.0
RBW,9,6.06,4.0,8.0,6.0,5.0
S2 Entertainment,2,5.25,5.0,5.5,5.25,5.0
SM Entertainment,51,4.17,1.0,9.5,4.0,4.0
Schnauzer Boulangerie,1,0.5,0.5,0.5,0.5,0.5
Seven Seasons,2,2.5,2.0,3.0,2.5,2.0
Source Music,9,5.72,3.0,10.0,5.0,5.0
Starship Entertainment,10,5.5,4.0,8.5,5.0,5.0
TADA Labels,1,5.0,5.0,5.0,5.0,5.0
TOP Media,1,5.0,5.0,5.0,5.0,5.0
TS Entertainment,2,4.5,4.0,5.0,4.5,4.0
Team Wang,1,6.5,6.5,6.5,6.5,6.5
The Black Label,2,5.0,3.0,7.0,5.0,3.0
WAKEONE,3,6.17,6.0,6.5,6.0,6.0
WM Entertainment,1,4.0,4.0,4.0,4.0,4.0
Wake One Entertainment,2,6.75,6.0,7.5,6.75,6.0
Waterbomb,2,8.25,6.5,10.0,8.25,6.5
XGALX,1,6.0,6.0,6.0,6.0,6.0
YG Entertainment,49,3.92,0.0,9.0,4.0,3.0
YMC Entertainment,3,4.17,2.0,6.5,4.0,2.0
Yuehua Entertainment,7,5.64,3.0,8.0,6.0,3.0
ZB Label,1,8.0,8.0,8.0,8.0,8.0
Sans compagnie,1,6.0,6.0,6.0,6.0,6.0
