Episode,Nombre_de_titres,MOYENNE_TOTALE,Vidéo Youtube
1,22,6.81,https://youtu.be/fyJr4CEKXkA
2,22,6.84,https://youtu.be/rc0Fl6Fs6X4
3,22,6.5,https://youtu.be/2KxjKWK_rdg
4,22,6.15,https://youtu.be/dRgOcrMnLWQ
5,22,6.1,https://youtu.be/thHay-4169o
6,22,6.49,https://youtu.be/34UzRxwr1Mc
7,22,6.38,https://youtu.be/f5JcMapB6Ro
8,22,6.17,https://youtu.be/JTOFo8VwbXc
9,22,6.34,https://youtu.be/jcm2-gAmuOY
10,22,6.17,https://youtu.be/j5HycOw2cuo
11,22,6.14,https://youtu.be/xPKYA3c3qbE
12,22,6.31,https://youtu.be/CrsWqDTWm4U
13,22,6.16,https://youtu.be/71y1sD5CD_s
14,22,5.99,https://youtu.be/GJJeF5kMPqQ
15,22,6.44,https://youtu.be/TFDf6sEukkg
16,22,6.01,https://youtu.be/9KHrxeI9LII
17,22,5.56,https://youtu.be/7Y19u5x1h6w
18,22,6.72,https://youtu.be/iRXC488cqQE
19,22,6.82,https://youtu.be/bQOwCLr2exw
20,22,6.1,https://youtu.be/Nl9U_brLCwo
