Numero,Nombre_de_notes,Moyenne,Minimum,Maximum,Mediane,Note_la_plus_frequente
1,20,4.92,1.0,9.0,5.75,6.0
2,20,6.08,2.5,10.0,6.25,3.0
3,20,6.55,0.0,10.0,7.25,10.0
4,20,6.72,1.0,10.0,7.5,4.5
5,20,6.53,0.0,10.0,7.25,8.0
6,20,7.22,3.5,10.0,7.5,7.5
7,20,5.47,0.5,9.5,4.75,4.5
8,20,5.78,2.0,10.0,5.5,4.0
9,20,6.33,1.5,10.0,6.5,4.5
10,20,5.9,0.5,10.0,6.5,8.5
11,20,6.42,0.5,10.0,6.5,3.5
12,20,7.03,2.0,10.0,7.5,7.5
13,20,6.53,0.0,10.0,6.75,6.0
14,20,6.13,2.0,10.0,5.5,4.5
15,20,6.75,2.0,10.0,7.0,10.0
16,20,5.63,1.0,10.0,5.0,5.0
17,20,6.17,4.0,10.0,5.0,4.0
18,20,6.6,3.5,10.0,6.25,4.5
19,20,6.8,3.0,10.0,6.25,4.5
20,20,5.2,1.5,10.0,5.75,3.0
21,20,6.9,1.5,10.0,8.25,10.0
22,20,7.58,3.0,10.0,8.0,10.0
