Numero,Nombre_de_titres,Moyenne_Nouveaux_fans,Moyenne_Anciens_fans,Moyenne_Totale
1,20,4.29,7.59,5.94
2,20,4.93,7.39,6.16
3,20,5.44,6.84,6.14
4,20,5.7,7.9,6.8
5,20,5.96,7.76,6.86
6,20,5.7,7.58,6.64
7,20,4.45,8.1,6.28
8,20,4.24,7.78,6.01
9,20,5.4,7.89,6.64
10,20,5.06,6.85,5.96
11,20,5.34,7.71,6.53
12,20,5.53,7.54,6.53
13,20,5.35,7.6,6.48
14,20,5.13,7.26,6.19
15,20,6.36,7.35,6.86
16,20,4.79,7.24,6.01
17,20,5.11,7.19,6.15
18,20,5.61,7.56,6.59
19,20,5.96,7.45,6.71
20,20,4.38,7.44,5.91
21,20,6.01,7.2,6.61
22,20,6.31,7.39,6.85
